tx	gene_id	Ribo_NitrogenMinus_rep1	Ribo_NitrogenMinus_rep2	Ribo_NitrogenPlus_rep1	Ribo_NitrogenPlus_rep2	RNA_NitrogenMinus_rep1	RNA_NitrogenMinus_rep2	RNA_NitrogenPlus_rep1	RNA_NitrogenPlus_rep2
unassigned_transcript_662	MM_RS19405	22	25	30	14	14	27	7	40
unassigned_transcript_663	MM_RS03235	328.998	450.422	341	189	112	125	98	72
unassigned_transcript_664	MM_RS03240	124	179	138.002	152	12	10	9	3
unassigned_transcript_665	MM_RS03245	74.895	153.58	112	57	24	30	24	26
unassigned_transcript_666	MM_RS17695	59	66.709	96	40	6	19	31	38
unassigned_transcript_667	MM_RS03260	13.53	21	38	10	3	3	19	12
unassigned_transcript_668	MM_RS18265	4	2.019	0	0	0	0	0	0
unassigned_transcript_669	MM_RS03265	40.3	76.651	180.057	54	3	8	13	9
unassigned_transcript_670	MM_RS03270	287	342	1504	655	158	202	1127	1874
unassigned_transcript_671	MM_RS03275	766	1051.099	4524	4836	106	232	645	1567
unassigned_transcript_672	MM_RS03280	793	1720.759	8279.867	21970	155	296	726	1452
unassigned_transcript_673	MM_RS18270	62	104.984	72	41	168	151	43	277
unassigned_transcript_674	MM_RS03285	2352	6402	4780	4562	90	202	153	362
unassigned_transcript_675	MM_RS03290	407	935	539	390	163	384	129	312
unassigned_transcript_676	MM_RS03295	355	776	736	359	50	83	65	115
unassigned_transcript_677	MM_RS03300	646	1984.998	1453	1769	71	208	187	216
unassigned_transcript_678	MM_RS03305	642.997	1853.663	907	700	89	243.974	139	211
unassigned_transcript_679	MM_RS03310	1031.925	1872.303	1462.012	1349	331	630	545	657
unassigned_transcript_680	MM_RS03315	869	1326.002	1783	1294	154	391	930	644
unassigned_transcript_681	MM_RS03320	352	843.17	804	889	53	104	108	182
unassigned_transcript_682	MM_RS03325	181.546	588.132	562	566	40	112	79	128
unassigned_transcript_683	MM_RS03330	151	367	209	218	66	275	115	252
unassigned_transcript_684	MM_RS03335	19	53	60	72	16	47	58	122
unassigned_transcript_685	MM_RS18275	423	1380	131	145	40	253	2	48
unassigned_transcript_686	MM_RS03340	9.42	6	10	17	1.003	5	4	11
unassigned_transcript_687	MM_RS03345	27	61.001	65	27	13	24	15	64
unassigned_transcript_688	MM_RS03355	305	741	638	215	77	155	91	93
unassigned_transcript_689	MM_RS03360	187	236	219	165	280	350	123	222
unassigned_transcript_690	MM_RS03365	838	1323	723	341	322	402	98	166
unassigned_transcript_691	MM_RS03370	739	1248	366	250	286	373	105	95
unassigned_transcript_692	MM_RS03375	155.712	115.168	626.344	613.685	29.4	65.971	112.135	161.545
unassigned_transcript_693	MM_RS03380	356.142	370.832	1307.656	1349.315	88.6	120.029	249.865	311.455
unassigned_transcript_694	MM_RS03385	449	583.017	409	230	570	680	441	360
unassigned_transcript_695	MM_RS03390	213.503	568.449	418.38	171	36	171	91	220
unassigned_transcript_696	MM_RS03395	121.133	276.22	408	180	34	58	103	117
unassigned_transcript_697	MM_RS03400	72	97	360	160	15	31	100	123
unassigned_transcript_698	MM_RS03405	489	299	729	240	37	55	99	124
unassigned_transcript_699	MM_RS03410	203	267	760	369	142	127	179	287
unassigned_transcript_700	MM_RS03415	56	71.907	274	55	21	31	80	100
unassigned_transcript_701	MM_RS03420	168	187.217	1082	556	39	45	193	190
unassigned_transcript_702	MM_RS03425	143	340	824	293	39	52	163	173
unassigned_transcript_703	MM_RS03430	84	162.114	516	315	41	48	162	119
unassigned_transcript_704	MM_RS03435	329	504	1152	726	52	87	155	217
unassigned_transcript_705	MM_RS03440	397.001	652.241	845	567	64	139	139	191
unassigned_transcript_706	MM_RS03445	57.999	136	121	46	85.978	163	83	114
unassigned_transcript_707	MM_RS03450	5	16	7.83	2	4	8	19	6
unassigned_transcript_708	MM_RS18280	23	145.127	29.194	4	3	6	2	2
unassigned_transcript_709	MM_RS18285	191	551.556	88	105	63	151	51	59
unassigned_transcript_710	MM_RS03455	359.464	766	1510	1267	59	140	106	125
unassigned_transcript_711	MM_RS03460	637.09	1153.703	3270.148	2936	100	164	150	200
unassigned_transcript_712	MM_RS03465	16.764	51.749	26	8	5	15	17	4
unassigned_transcript_713	MM_RS03470	2453	6949	2459	4632	897	1615	517	1703
unassigned_transcript_714	MM_RS03475	637.875	2923.852	647.936	325.678	211.268	441.519	255.505	461
unassigned_transcript_715	MM_RS03480	284	529	304.991	146	17	55	14	22
unassigned_transcript_716	MM_RS03485	454.575	746	3100	3214	39	121	146	355
unassigned_transcript_717	MM_RS03490	117	245	655	360	39	82	186	134
unassigned_transcript_718	MM_RS03495	228	401	1110	459	106	206	271	417
unassigned_transcript_719	MM_RS03500	1176	3164	1653	1182	878	1343	972	946
unassigned_transcript_720	MM_RS03505	172	270.858	194	79	60	113	90	100
unassigned_transcript_721	MM_RS03510	742.121	1561	1063	1898	545	641	123	213
unassigned_transcript_722	MM_RS03515	1139	2678	3024	1712	203	545	293	310
unassigned_transcript_723	MM_RS03520	1665	3034.601	5925	1771	569	784	1262	945
unassigned_transcript_724	MM_RS03525	1001	2099.883	2965.976	2355	251	389	406	319
unassigned_transcript_725	MM_RS03530	965	2371.838	1315	1095	113	226	182	206
unassigned_transcript_726	MM_RS03535	143	249	297.01	175	33	62	104	124
unassigned_transcript_727	MM_RS03540	204	436.823	901	610	66	116	215	269
unassigned_transcript_728	MM_RS03545	359.324	531	490	250	181	368	245	247
unassigned_transcript_729	MM_RS03550	161.051	274.018	236	91	12	39.012	4	32
unassigned_transcript_730	MM_RS03555	120	172	229	142	17	33	19	37
unassigned_transcript_731	MM_RS03570	2178.639	2958.768	1014.483	1637.07	503.967	1255.195	350.792	905.793
unassigned_transcript_732	MM_RS03575	321	404	116.684	263	18	111	17	56.991
unassigned_transcript_733	MM_RS03580	1246.629	2310.98	1046.883	1183.032	383.131	811.208	117.844	432.644
unassigned_transcript_734	MM_RS03585	64.52	110.199	310.695	4.293	5.868	20.124	45.496	0
unassigned_transcript_735	MM_RS03590	1467	2821.493	1231	2553.048	281	412.227	258.919	305
unassigned_transcript_736	MM_RS03595	1037.484	1168.814	1613.161	1500.917	316.539	415.928	389.54	360.204
unassigned_transcript_737	MM_RS03600	179	264.036	1039	649	73	81	234	258
unassigned_transcript_738	MM_RS03605	87	188.038	754	386	76	202.995	383	443
unassigned_transcript_739	MM_RS03610	209	486.093	777	393	45	100	48	157
unassigned_transcript_740	MM_RS03615	159.046	429.007	818.001	422	23	102	62	166
unassigned_transcript_741	MM_RS03620	2413	3946.981	5310	2576	641	1031	1263	1338
unassigned_transcript_742	MM_RS03625	690	784.059	3708	3741	160	160	581	399
unassigned_transcript_743	MM_RS03630	76	158	570	106	32	48	81	80
unassigned_transcript_744	MM_RS03635	3617.713	8101.334	2491	3369	1411	4926.36	688	1204
unassigned_transcript_745	MM_RS03640	249.931	411.571	261	155	126	170	356	164
unassigned_transcript_746	MM_RS03645	489.016	821.933	484	414	53	103	51	75
unassigned_transcript_747	MM_RS03650	893	2049.069	501	185	2466	5220	1287	1023
unassigned_transcript_748	MM_RS03655	1214.019	1847.93	6838	2231	251	502	576	695
unassigned_transcript_749	MM_RS03660	159.001	243.077	191.051	74	41	97	49	87
unassigned_transcript_750	MM_RS03665	79	249	120	51	37	94	47	92
unassigned_transcript_751	MM_RS03670	70	112.004	131	131	46	63	38	116
unassigned_transcript_752	MM_RS03675	241	646.573	262	263	107	246	90	175
unassigned_transcript_753	MM_RS03680	888	2180	1787	1479	55	187	96	164
unassigned_transcript_754	MM_RS03685	1711	2745.002	2458	1558	190	488	196	379
unassigned_transcript_755	MM_RS03690	48	59.39	93	33	26	110	66	202
unassigned_transcript_756	MM_RS03695	582.361	1439.741	1336.923	2101	131	238	174	192
unassigned_transcript_757	MM_RS03700	3548	6888.994	648	637	922	1445	116	192
unassigned_transcript_758	MM_RS17705	854	1100	303	106	74	196	67	35
unassigned_transcript_759	MM_RS03710	3435.646	15611.183	3460.198	10104.567	1355.817	3304.907	580.221	3799.291
unassigned_transcript_760	MM_RS03715	394.048	1687	1181.014	910	511	1577	565	968
unassigned_transcript_761	MM_RS03720	3437.354	15641.817	2990.802	11107.433	1163.183	3502.093	1535.779	3184.709
unassigned_transcript_762	MM_RS03725	289.236	280.503	686.926	152.11	494.562	326.871	223.78	1186.518
unassigned_transcript_763	MM_RS03730	8	19.669	27	2	3	10	20	13
unassigned_transcript_764	MM_RS03735	393	850.602	812	392	51	112	84	65
unassigned_transcript_765	MM_RS03740	411	788.992	1661	2182	77.779	190	131	185
unassigned_transcript_766	MM_RS03745	290	604.097	900	540	149.221	351	318	516
unassigned_transcript_767	MM_RS03750	537	1024	1462.042	948	205	278	394	448
unassigned_transcript_768	MM_RS03755	92.299	216.001	126	51	23	30	23	36
unassigned_transcript_769	MM_RS03760	268.799	549	239	170	55	100	54	68
unassigned_transcript_770	MM_RS03765	11539	34660	60	226	543	2399	5	16
unassigned_transcript_771	MM_RS03770	6518.61	20800.869	13	144	358	1242	0	5
unassigned_transcript_772	MM_RS03775	1168	4018	6	81	273	759	5	4
unassigned_transcript_773	MM_RS03780	9128.974	25146.679	76.895	364	640	2740.986	17	26
unassigned_transcript_774	MM_RS03785	5277.998	16509.887	124	433	2493	9737	54	180
unassigned_transcript_775	MM_RS03790	9066.324	34074.795	869.571	527	780	3877	60	154
unassigned_transcript_776	MM_RS03795	3012	10054.699	107	169.077	555	2338	41	63
unassigned_transcript_777	MM_RS03800	1002.149	3187.479	39.076	72	114	565	12	5
unassigned_transcript_778	MM_RS03805	495.999	965	34	35	143	563	7	6
unassigned_transcript_779	MM_RS03810	526.409	1743.278	52.879	54	267	1086.999	7	47
unassigned_transcript_780	MM_RS03815	175.987	411.893	350	85	53	107	34	65
unassigned_transcript_781	MM_RS03820	1733	3074.997	279.911	410	362.277	899	75	124
unassigned_transcript_782	MM_RS03825	3788.934	9187	117	105	809	2448	8	6
unassigned_transcript_783	MM_RS03830	13243.946	24314.812	233	371	3904	9941	79	26
unassigned_transcript_784	MM_RS03835	39	85	13.012	8	5	14	12	4.004
unassigned_transcript_785	MM_RS19555	7	27	18	11	5	7	18	26
unassigned_transcript_786	MM_RS19560	7	11	8	3	0	4	3	7
unassigned_transcript_787	MM_RS03850	13.153	61.038	39	15	6	6	1	2
unassigned_transcript_788	MM_RS03855	53	86.61	141.372	101	9	12	10	13
unassigned_transcript_789	MM_RS03860	240	573.239	495	553	8	24	14	7
unassigned_transcript_790	MM_RS03865	317.754	1805.895	574.604	288.851	37.168	25.601	0	53.068
unassigned_transcript_791	MM_RS03875	146.289	269.145	121.943	52	29	32	9	25
unassigned_transcript_792	MM_RS03880	51	123.104	121	59	10	21	13	17
unassigned_transcript_793	MM_RS03885	39	87	105.218	63	2	5	4	8
unassigned_transcript_794	MM_RS03890	36	59.841	412	220	12	45	80	112
unassigned_transcript_795	MM_RS03895	49.222	132.221	231.311	139.517	11.999	35.75	33.853	94.813
unassigned_transcript_796	MM_RS19410	4	1	4	0	1	4	25	1
unassigned_transcript_797	MM_RS18290	8	9	41	3	0	1	7	2
unassigned_transcript_798	MM_RS03900	597	578.287	50	21	79	149	23	34
unassigned_transcript_799	MM_RS03905	255.475	412.822	8154.988	5049.923	31	54	539	354
unassigned_transcript_800	MM_RS03910	391	755	213	146	56	107	56	46
unassigned_transcript_801	MM_RS03915	36.094	48.987	47	14	26	34	23	47
unassigned_transcript_802	MM_RS03920	193.752	518.765	908.879	587.179	48	132	311	162
unassigned_transcript_803	MM_RS03925	58.777	165.198	167	104	14	34	75	67
unassigned_transcript_804	MM_RS03930	203	721	75	49	45	104	4	41
unassigned_transcript_805	MM_RS03935	679	1862	1893	54	138	363	144	28
unassigned_transcript_806	MM_RS03940	548	1873.996	2536	57	29	214	37	13
unassigned_transcript_807	MM_RS03945	331	671	1524	41	64	199	53	18
unassigned_transcript_808	MM_RS03950	323.501	450.817	2770	94	50	61	71	19
unassigned_transcript_809	MM_RS03955	816	1412.966	2384.994	1016.993	142	273	240	222
unassigned_transcript_810	MM_RS03965	72.031	128.961	114.006	94.007	14	19	10	10
unassigned_transcript_811	MM_RS03970	164	1125	2349	1008	18	98	187	126
unassigned_transcript_812	MM_RS03975	279.999	574.33	909	305	128	179	227	201
unassigned_transcript_813	MM_RS03980	208.973	432.001	366	270	8	10	11	6
unassigned_transcript_814	MM_RS03985	425.998	1870	469	728	41	153	62	98
unassigned_transcript_815	MM_RS03990	226	404	552	476	202	371	711	787
unassigned_transcript_816	MM_RS03995	944	2456	2413	1958	1489.283	3007	1699	2519
unassigned_transcript_817	MM_RS04000	48	140	167	85	11	36	61	87
unassigned_transcript_818	MM_RS04005	26	36	23	11	27	60	27	46
unassigned_transcript_819	MM_RS04010	2119	3115.006	2737	1294	577	671	504	350
unassigned_transcript_820	MM_RS04015	839	2001	1693.997	578	165	317	259	200
unassigned_transcript_821	MM_RS04020	56	81	122	35	96	92	134	93
unassigned_transcript_822	MM_RS04025	161	367	583	192	189	149	150	394
unassigned_transcript_823	MM_RS04030	287.528	0	333.645	152.354	637.955	1286.027	645.22	1185.158
unassigned_transcript_824	MM_RS04035	150.562	432.086	1092.684	560.272	22.156	61.274	86.753	161.979
unassigned_transcript_825	MM_RS04040	7	8	11	7	1	1	3	0
unassigned_transcript_826	MM_RS04045	1239.517	5151.524	4647.923	2464.439	389.68	668.93	721.389	729.795
unassigned_transcript_827	MM_RS04050	439.683	1489.389	781.019	605.302	101	201.006	116	161.804
unassigned_transcript_828	MM_RS04055	336	729.125	432	167	478	583	172	1019
unassigned_transcript_829	MM_RS04060	351.038	436	318	259	120	159	148	164
unassigned_transcript_830	MM_RS18295	259	422	915	1905	814	2291	2364	6981
unassigned_transcript_831	MM_RS04070	297	410	1709	3070	207	784	628	2293
unassigned_transcript_832	MM_RS04075	1648	2156.177	5916	13648	396	1434	803	3708
unassigned_transcript_833	MM_RS04080	2579	3605	7757	12170	453	1612	708	3771
unassigned_transcript_834	MM_RS04085	673	1068	2156	2406	134	587	222	1245
unassigned_transcript_835	MM_RS04090	987.243	1184	2259.997	2418	338	1068	609	2621
unassigned_transcript_836	MM_RS04095	1059.988	2362	2425	2629.916	256	582	332	873
unassigned_transcript_837	MM_RS04100	1294	3759	5564	13855	85	275	223	687
unassigned_transcript_838	MM_RS04105	6589	10383	9001	9183	1760	4073	2301	5073
unassigned_transcript_839	MM_RS04110	957	2648.966	1150	1161	275	799	919	1470
unassigned_transcript_840	MM_RS04115	6.13	6.105	6.285	2	1.032	4.361	0	3.108
unassigned_transcript_841	MM_RS04120	411	643	750	391	27	54	34	41
unassigned_transcript_842	MM_RS04130	881	1863	909	431	129	518	180	140
unassigned_transcript_843	MM_RS04135	160	348	110	60	51	206	35	69
unassigned_transcript_844	MM_RS19565	63	96	51	23	10	25	22	17
unassigned_transcript_845	MM_RS04140	3510	5046.163	4083	3491.995	3090	5393.202	2039.247	5666.272
unassigned_transcript_846	MM_RS04145	128.254	1098.692	198.142	968.099	128.287	416.222	109.42	516.014
unassigned_transcript_847	MM_RS04150	479.78	572.688	106	63	127	252	48	58
unassigned_transcript_848	MM_RS04155	40.943	72	77	51	53	47	43	36
unassigned_transcript_849	MM_RS04160	121.007	155.658	94	52	53	83	43	66
unassigned_transcript_850	MM_RS17725	33.999	69	116	54	4	7	16	15
unassigned_transcript_851	MM_RS04170	149	324	186	56	9	12	0	7
unassigned_transcript_852	MM_RS04175	418	675	411	133	27	35.995	21	32
unassigned_transcript_853	MM_RS04180	1864	3140.369	7894.183	2945.849	2878	9627	2576	8226.006
unassigned_transcript_854	MM_RS04185	280	579.062	1147	1032	162	271	287	272
unassigned_transcript_855	MM_RS04190	1526	2690	497	151	104	238	39	73
unassigned_transcript_856	MM_RS04195	265.74	542.985	894	290	106	98	182	158
unassigned_transcript_857	MM_RS04200	983.952	1952.466	3862.944	1628	243	386	588	760
unassigned_transcript_858	MM_RS04205	401.824	1277.975	5339	2679	78	206	531	535
unassigned_transcript_859	MM_RS04210	189	366	1548	488	69	117	425	322
unassigned_transcript_860	MM_RS04215	235	573	2601	797	89	181	643	748
unassigned_transcript_861	MM_RS04220	79	301	1305	856	21	18	54	24
unassigned_transcript_862	MM_RS04225	685	1993	9577	7221	67	188	148	198
unassigned_transcript_863	MM_RS04230	352	1086	3199	1937	158	406	432	614
unassigned_transcript_864	MM_RS04235	429	1015	2923	2378	41	122	139	186
unassigned_transcript_865	MM_RS04240	2230	2693	9021	4542	320	664	499	1198
unassigned_transcript_866	MM_RS04245	495.387	947.568	2351.559	1944.018	88.992	223.007	263	476
unassigned_transcript_867	MM_RS04250	161	292	145	80	252	590	58	279
unassigned_transcript_868	MM_RS04255	39	87	154	43	12	28	42	37
unassigned_transcript_869	MM_RS04260	78.018	272	145	55	39	93	83	159
unassigned_transcript_870	MM_RS04265	1586	4159.081	1507	1472	126.032	228	139	102
unassigned_transcript_871	MM_RS04275	317.007	197.472	694.46	268.77	177.231	243.019	610.719	146.042
unassigned_transcript_872	MM_RS04280	206	620	1609.978	2177	69	103	182	274
unassigned_transcript_873	MM_RS04285	424	1188	1892	753	143	327	343	412
unassigned_transcript_874	MM_RS04290	388	513.004	1033	795	107	189	198	281
unassigned_transcript_875	MM_RS04295	446	950	592	436	271	643	370	585
unassigned_transcript_876	MM_RS04300	30	73.964	130	40	11	10	9	15
unassigned_transcript_877	MM_RS04305	28	59.987	51	23	11	15	6	14
unassigned_transcript_878	MM_RS04310	2020.96	2875.812	327	1046	1576	3137	267	2590
unassigned_transcript_879	MM_RS04315	1829.406	3187.897	800	1654	403	648.829	155	530.666
unassigned_transcript_880	MM_RS04320	2853	5342.999	1708	3159	716	1131	274	972
unassigned_transcript_881	MM_RS04325	967	937.923	632	871	141	382	76	265
unassigned_transcript_882	MM_RS04330	36	119	149	45	13	27	33	29
unassigned_transcript_883	MM_RS18300	384	851	6073	5465	12	39	125	191
unassigned_transcript_884	MM_RS04335	417	556	410	155	148	359	238	156
unassigned_transcript_885	MM_RS04340	408	910	415	228	151	593	264	286
unassigned_transcript_886	MM_RS04345	299	353.013	335	164	111	163	144	183
unassigned_transcript_887	MM_RS04350	71	178	109	70	12	30	18	18
unassigned_transcript_888	MM_RS04355	127.701	402	313	146	17	39	50	45
unassigned_transcript_889	MM_RS04360	14	41	22	10	2	2	7	13
unassigned_transcript_890	MM_RS04365	28.928	28	22	10	2	8	9	17
unassigned_transcript_891	MM_RS04370	607	928.014	338	326	271	490	253	417
unassigned_transcript_892	MM_RS04375	203.213	566.535	409.003	388	34	76	77	70
unassigned_transcript_893	MM_RS04380	323	447	476.001	151	556	710	292	390
unassigned_transcript_894	MM_RS04385	335.329	511.183	460	268	41	78	57	58
unassigned_transcript_895	MM_RS04390	33	63.994	52.072	17	10	17	12	26
unassigned_transcript_896	MM_RS04395	151.982	309.095	527.001	159	47	67.992	102	112
unassigned_transcript_897	MM_RS04400	76	160	160	81	48	159	70	88
unassigned_transcript_898	MM_RS04405	1172.125	2958.961	2603.064	2393.322	114.732	350.481	185.495	477
unassigned_transcript_899	MM_RS04410	373	537.001	454	268	210	275	133	229
unassigned_transcript_900	MM_RS04415	186	350.896	459.699	82	66.998	75.002	39	47
unassigned_transcript_901	MM_RS04420	266	321.007	609	93	33	38	41	17
unassigned_transcript_902	MM_RS04425	168.171	301.279	468.004	63	47.002	72.998	46	24
unassigned_transcript_903	MM_RS04430	84	171.001	96	53	12	39	8	11
unassigned_transcript_904	MM_RS04435	35.689	77.736	42	11	11	30	20	31
unassigned_transcript_905	MM_RS04440	403	1006	286	254	13	42	13	12
unassigned_transcript_906	MM_RS04445	99	213	165	36	37	34	4	12
unassigned_transcript_907	MM_RS04450	162	262	226	71	29	27	22	25
unassigned_transcript_908	MM_RS04455	68	159.007	83	90	19	36	49	43
unassigned_transcript_909	MM_RS04460	224	262	452	346	315	495	513	850
unassigned_transcript_910	MM_RS04465	563.922	775.157	928	768	221.002	379	359	418
unassigned_transcript_911	MM_RS04470	99	294.969	1193	752	14	48	73	93
unassigned_transcript_912	MM_RS04475	496	591	1283	558	106	556	254.997	490
unassigned_transcript_913	MM_RS04480	687	1317	709	293	35	276	105	88
unassigned_transcript_914	MM_RS04485	1461	3152	2920	1672	133	433	194	363
unassigned_transcript_915	MM_RS04490	489.955	2370	437	273	90	284	134	170
unassigned_transcript_916	MM_RS04495	359	1137	2341.543	1403	144	428	645	575
unassigned_transcript_917	MM_RS04500	314	466.627	283	171	87	233	157	173
unassigned_transcript_918	MM_RS04505	448	672	686	399.011	79	227.336	105	231.218
unassigned_transcript_919	MM_RS04510	264	384	347	301	121	231	68	179
unassigned_transcript_920	MM_RS04515	239	416.113	588	448	87	153	145	220
unassigned_transcript_921	MM_RS04520	323	672	1954	936	93	242	213	318
unassigned_transcript_922	MM_RS04525	584.512	902.733	1316	1781	86	213	287	308
unassigned_transcript_923	MM_RS04530	733.646	1452.605	2835.998	1953.955	167	329	224	361
unassigned_transcript_924	MM_RS04535	116	205	383	183	69	101	195	341
unassigned_transcript_925	MM_RS04540	46	67	571	355	22	53	78	145
unassigned_transcript_926	MM_RS04545	245	427	1992	1715	66	67	239	263
unassigned_transcript_927	MM_RS04550	204	287.845	1555	1096	24	59	163	140
unassigned_transcript_928	MM_RS04555	75	98	440	209	79	101	255	333
unassigned_transcript_929	MM_RS04560	10.01	27.021	25.022	20.017	3.001	5.001	16.005	19.008
unassigned_transcript_930	MM_RS04565	140.322	253.633	237	91	37	57	105	102
unassigned_transcript_931	MM_RS19095	1	7	3	4	7	11	6	7
unassigned_transcript_932	MM_RS17730	30.99	39.979	21.978	11.983	16.999	36.999	19.995	18.992
unassigned_transcript_933	MM_RS04575	508	775	622	414	221	480	309	298
unassigned_transcript_934	MM_RS04580	41	60	76	40	8	8	15	35
unassigned_transcript_935	MM_RS04585	12	39	17	2	5	5	4	4
unassigned_transcript_936	MM_RS04590	73	167.908	138	95	19	34	25	26
unassigned_transcript_937	MM_RS04600	0	0	217.819	0	0	31.87	66.513	87.658
unassigned_transcript_938	MM_RS04605	2061.672	3702.884	2625.736	1331.029	1958	2454.943	1121	2512
unassigned_transcript_939	MM_RS04610	128.93	285.607	499.992	118	31	53	45	52
unassigned_transcript_940	MM_RS04615	36	209	26	64	11	24	12	11
unassigned_transcript_941	MM_RS04620	221.635	541.003	159.701	86.403	67.684	215	44	59
unassigned_transcript_942	MM_RS04625	196.143	372.25	417	302	40	94.01	100	115
unassigned_transcript_943	MM_RS04630	73	123	371	209	32	33	93	100
unassigned_transcript_944	MM_RS04635	334.988	646.551	1380.998	789	100	166	406	499
unassigned_transcript_945	MM_RS04640	11	12	32	16	2	16	21	19
unassigned_transcript_946	MM_RS04645	11	23	22	9	2	8	6	12
unassigned_transcript_947	MM_RS04650	636	1430	1040	1618	341	684	392	518
unassigned_transcript_948	MM_RS04655	3155.975	5917.059	3826	3012	876	1301	836	1212
unassigned_transcript_949	MM_RS04660	2072	3652	2433	4381	832	1495	813	896
unassigned_transcript_950	MM_RS04665	95	166	66	40	20	97	32	64
unassigned_transcript_951	MM_RS19525	33	89.217	24	15	10	11	0	6
unassigned_transcript_952	MM_RS04670	29.012	52.552	31	12	15	40	27	29
unassigned_transcript_953	MM_RS04675	5218.972	8580.917	2941	2231	809	2074	241	359
unassigned_transcript_954	MM_RS04680	1829	2921.005	2366	1413	402	647	698	967
unassigned_transcript_955	MM_RS04685	3	4.271	0	3	1	4	5	3
unassigned_transcript_956	MM_RS04690	709.953	1081.764	625.818	360	251.001	434	289	287
unassigned_transcript_957	MM_RS04695	158	289	557	557	33	47	94	60
unassigned_transcript_958	MM_RS04700	23	59	102	33	4	23	24	30
unassigned_transcript_959	MM_RS04710	265.534	475.923	596.369	197	27	59	76	66
unassigned_transcript_960	MM_RS04715	284.977	740	1498	1672	196	226.005	344	333
unassigned_transcript_961	MM_RS18305	13	27.001	25	8	10	5	5	5
unassigned_transcript_962	MM_RS04720	191	484	191	107	51	114	47	74
unassigned_transcript_963	MM_RS04725	629.997	2361.475	679	446	72	192	84	159
unassigned_transcript_964	MM_RS04730	206	343	244	70	56	87	60	128
unassigned_transcript_965	MM_RS04735	481.053	780.997	576	396	66	148	51	107
unassigned_transcript_966	MM_RS04740	562	808.999	543	319	124	219	157	143
unassigned_transcript_967	MM_RS04745	1628.001	3071.945	2911	3489	445	711	350	569
unassigned_transcript_968	MM_RS04750	2497.191	5067.863	2812.14	2417	208	563.045	175	605
unassigned_transcript_969	MM_RS04755	550.994	998.03	1146.943	1618	49	108	86	189
unassigned_transcript_970	MM_RS04760	283	465	540	722	39	71	77	97
unassigned_transcript_971	MM_RS04765	771.007	1179.109	1706.039	1703	238	315	351	437
unassigned_transcript_972	MM_RS04770	167	238	558	500	49	79	113	155
unassigned_transcript_973	MM_RS04775	532.992	703.11	2939	1233	115	193	312	311
unassigned_transcript_974	MM_RS04780	217	441.664	593.325	314	80	115	187	171
unassigned_transcript_975	MM_RS04785	133.047	246.123	558	340	20	83	132	113
unassigned_transcript_976	MM_RS04790	63	99	59	34	23	52	8	36
unassigned_transcript_977	MM_RS04795	123	251.274	461.541	204	87	159	112	187
unassigned_transcript_978	MM_RS04800	760	1365.758	5243	4300	79	137	118	186
unassigned_transcript_979	MM_RS04805	71	88	831	414.671	28	28	159	200
unassigned_transcript_980	MM_RS18870	370	581	1409.004	595	180	219	316	467
unassigned_transcript_981	MM_RS04815	1866	4323	4209.996	8005.987	164	246	140	461
unassigned_transcript_982	MM_RS04820	117.845	67.987	230.593	0	117.73	184.177	93.189	189.556
unassigned_transcript_983	MM_RS04825	13	16	26.001	24	0	9	0	4
unassigned_transcript_984	MM_RS04830	58	77	222	77	9	21	10	10
unassigned_transcript_985	MM_RS04835	47	63.118	66	16.001	17	20	23	33
unassigned_transcript_986	MM_RS04840	250.6	269	2506	433	60	69.988	145	144
unassigned_transcript_987	MM_RS04845	43	26	179	44	21	28	35	51
unassigned_transcript_988	MM_RS04850	103.054	125	247	206	49	37	54	84
unassigned_transcript_989	MM_RS04855	454.829	580.289	477	309	140	294	169	222
unassigned_transcript_990	MM_RS04860	9.006	25.013	18	15	2	7	8	8
unassigned_transcript_991	MM_RS04865	31	60.522	24.911	6	4	8	1	8
unassigned_transcript_992	MM_RS04870	63	125.03	115	63	13	23	12	21
unassigned_transcript_993	MM_RS04875	13	29	38	11	2	18	15	12
unassigned_transcript_994	MM_RS04880	19.631	37.055	23	6	4	12	1	8
unassigned_transcript_995	MM_RS04885	126	184	174	146	10	29	17	27
unassigned_transcript_996	MM_RS04890	1711	4055	4425	4125	953	3107	1170	1985
unassigned_transcript_997	MM_RS04895	95514	14658	19270	4460	68038	78943.998	162870.998	52201
unassigned_transcript_998	MM_RS04900	389	743.885	181	221	150	386	70	156
unassigned_transcript_999	MM_RS04905	260	427	1981	632	54	105	175	79
unassigned_transcript_1000	MM_RS04910	223	876	3553	842	37	59	185	111
unassigned_transcript_1001	MM_RS04915	531	2234	5406	1065	334	1040	2163	2110
unassigned_transcript_1002	MM_RS04920	835	1645.228	3412	2348.002	236	528	655	1010
unassigned_transcript_1003	MM_RS04925	83	111.963	92	69	15	17.158	17	15
unassigned_transcript_1004	MM_RS04930	199	264.989	113	95	33	74	25	70
unassigned_transcript_1005	MM_RS04935	368	452	190	145	75	169	85	145
unassigned_transcript_1006	MM_RS04940	1202.194	2059.641	4736	2303	266	402	474	467
unassigned_transcript_1007	MM_RS04945	483	884.506	1205.832	328	56	126	89	96
unassigned_transcript_1008	MM_RS04950	199	553.117	355	109	32	109	69	110
unassigned_transcript_1009	MM_RS04955	108	177	149	54	55	93	66	88
unassigned_transcript_1010	MM_RS04960	127	293	144.168	85	21	101	73	73
